participant_id,condition,difficulty,trial_order,mean_rt_correct_key_ms,main_finger_accuracy,valid_event_count,included,centroid_level
P02,A,α,1,410.4332447052002,16.666666666666664,30,True,trial
P02,A,γ,2,491.63564929255733,10.344827586206897,29,True,trial
P02,C,β,3,639.6617333094279,86.66666666666667,30,True,trial
P02,A,γ,4,551.6556706921808,10.0,30,True,trial
P02,C,α,5,607.4701588729332,86.66666666666667,30,True,trial
P02,C,α,6,703.5695273300697,73.33333333333333,30,True,trial
P02,C,β,7,621.971575419108,73.33333333333333,30,True,trial
P02,B,β,8,718.5071221104374,46.666666666666664,30,True,trial
P02,C,γ,9,781.5922375383049,83.33333333333334,30,True,trial
P02,B,β,10,772.1298645282614,86.66666666666667,30,True,trial
P02,A,γ,11,482.8847934459818,16.666666666666664,30,True,trial
P02,C,γ,12,701.8710613250732,80.0,30,True,trial
P02,B,γ,13,964.8047049840292,83.33333333333334,30,True,trial
P02,B,α,14,725.900386941844,70.0,30,True,trial
P02,C,β,15,626.922623316447,86.66666666666667,30,True,trial
P02,C,γ,16,664.2169316609701,76.66666666666667,30,True,trial
P02,A,α,17,378.0659777777536,16.666666666666664,30,True,trial
P02,B,α,18,721.4109420776367,73.33333333333333,30,True,trial
P02,B,α,19,758.2104841868082,66.66666666666666,30,True,trial
P02,A,β,20,459.2492415987212,10.0,30,True,trial
P02,B,γ,21,785.5424972680898,53.333333333333336,30,True,trial
P02,A,α,22,411.3058090209961,10.0,30,True,trial
P02,A,β,23,383.6944341659546,16.666666666666664,30,True,trial
P02,B,γ,24,892.8698460261028,73.33333333333333,30,True,trial
P02,B,β,25,799.551788965861,86.66666666666667,30,True,trial
P02,C,α,26,666.7565504709879,76.66666666666667,30,True,trial
P02,A,β,27,420.6555287043254,10.0,30,True,trial
P03,B,β,1,1097.3156849543252,100.0,30,True,trial
P03,C,γ,2,1009.2193921407064,100.0,30,True,trial
P03,A,α,3,400.88031121662686,13.333333333333334,30,True,trial
P03,A,γ,4,571.4335688229265,20.0,30,True,trial
P03,C,β,5,875.5234274370916,93.33333333333333,30,True,trial
P03,B,β,6,959.799865196491,93.33333333333333,30,True,trial
P03,A,β,7,444.0043290456136,6.666666666666667,30,True,trial
P03,A,α,8,441.23570672396954,30.0,30,True,trial
P03,B,α,9,870.4930464426677,100.0,30,True,trial
P03,B,β,10,930.0254265467325,93.33333333333333,30,True,trial
P03,B,α,11,885.9164794286091,100.0,30,True,trial
P03,C,γ,12,809.8181033956593,96.66666666666667,30,True,trial
P03,C,α,13,715.2598857879639,100.0,30,True,trial
P03,A,γ,14,589.5035743713379,13.333333333333334,30,True,trial
P03,B,γ,15,998.242727915446,100.0,30,True,trial
P03,C,β,16,667.224891980489,100.0,30,True,trial
P03,A,α,17,390.0461594263713,33.33333333333333,30,True,trial
P03,B,γ,18,970.3583399454752,93.33333333333333,30,True,trial
P03,C,β,19,691.9341802597046,100.0,30,True,trial
P03,C,γ,20,825.7652362187703,90.0,30,True,trial
P03,B,α,21,831.3355856928332,83.33333333333334,30,True,trial
P03,C,α,22,615.2512550354004,83.33333333333334,30,True,trial
P03,A,β,23,549.4852970386373,26.666666666666668,30,True,trial
P03,A,γ,24,530.3516898836408,6.666666666666667,30,True,trial
P03,C,α,25,710.8702421188354,100.0,30,True,trial
P03,B,γ,26,1017.8185939788817,90.0,30,True,trial
P03,A,β,27,396.53204282124835,13.333333333333334,30,True,trial
