name,level,seed,start_note,end_note,fingers,notes,h_norm,d_m_mean_s,a_h,b_h,o_lr,h_hand
1799551287-α-1,alpha,1799551287,48,72,"L5, L4, L3, R3, L4, L2, L3, L4, L3, R2, R3, R2, R1, R2, L4, L3, L2, R1, R3, R4, R5, R4, R5, L2, L3, L4, L5, R5, L5, L4","57 (A3), 59 (B3), 57 (A3), 62 (D4), 59 (B3), 60 (C4), 59 (B3), 57 (A3), 59 (B3), 64 (E4), 65 (F4), 67 (G4), 69 (A4), 67 (G4), 57 (A3), 59 (B3), 57 (A3), 65 (F4), 64 (E4), 65 (F4), 64 (E4), 65 (F4), 64 (E4), 59 (B3), 57 (A3), 59 (B3), 60 (C4), 65 (F4), 60 (C4), 59 (B3)",0.268388,0.063988,0.275862,0.866667,0.000000,0.919527
1799551287-α-2,alpha,1799551287,48,72,"L5, L4, L2, L4, L2, L1, R2, R3, R2, R1, R3, R4, L1, R5, R4, L2, L1, R3, R4, R3, R1, R2, L1, L2, L3, R1, R2, L3, R2, R2","57 (A3), 59 (B3), 60 (C4), 59 (B3), 57 (A3), 59 (B3), 64 (E4), 65 (F4), 67 (G4), 69 (A4), 67 (G4), 65 (F4), 60 (C4), 64 (E4), 62 (D4), 57 (A3), 59 (B3), 64 (E4), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 59 (B3), 60 (C4), 59 (B3), 62 (D4), 64 (E4), 59 (B3), 62 (D4), 65 (F4)",0.272772,0.066964,0.310345,0.866667,0.000000,0.935384
1799551287-α-3,alpha,1799551287,48,72,"L3, L2, R3, L2, L1, R3, R2, R1, R1, R2, L2, L1, R2, R3, R4, R5, L1, L2, L1, L2, L4, L3, R4, R2, R1, R2, R1, R2, L4, R2","60 (C4), 59 (B3), 64 (E4), 60 (C4), 59 (B3), 64 (E4), 65 (F4), 64 (E4), 64 (E4), 62 (D4), 57 (A3), 59 (B3), 64 (E4), 65 (F4), 67 (G4), 65 (F4), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 64 (E4), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 65 (F4), 60 (C4), 64 (E4)",0.272772,0.050595,0.310345,0.866667,0.000000,0.935384
1799551287-α-4,alpha,1799551287,48,72,"R1, R2, L2, L4, L5, L4, L5, R2, R3, R2, R3, L5, L4, L5, R3, R5, R3, L5, R4, R5, L5, R5, R3, L4, L3, L2, L3, L4, L5, L4","60 (C4), 62 (D4), 59 (B3), 57 (A3), 55 (G3), 57 (A3), 59 (B3), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 59 (B3), 57 (A3), 59 (B3), 64 (E4), 62 (D4), 64 (E4), 59 (B3), 62 (D4), 64 (E4), 59 (B3), 64 (E4), 65 (F4), 57 (A3), 59 (B3), 57 (A3), 59 (B3), 57 (A3), 55 (G3), 53 (F3)",0.262439,0.061012,0.310345,0.866667,0.000000,0.935384
1799551287-α-5,alpha,1799551287,48,72,"R5, R4, L1, L2, L3, L4, L3, L2, R3, R2, R1, L1, R2, R3, L3, L4, R3, L4, L3, R1, R2, R3, L3, L4, L5, L4, L5, L4, R2, R1","60 (C4), 62 (D4), 59 (B3), 57 (A3), 59 (B3), 57 (A3), 59 (B3), 57 (A3), 60 (C4), 62 (D4), 64 (E4), 59 (B3), 62 (D4), 60 (C4), 57 (A3), 55 (G3), 60 (C4), 55 (G3), 57 (A3), 62 (D4), 64 (E4), 62 (D4), 59 (B3), 57 (A3), 55 (G3), 57 (A3), 55 (G3), 53 (F3), 64 (E4), 65 (F4)",0.272772,0.075893,0.344828,0.866667,0.000000,0.948123
1799551287-α-6,alpha,1799551287,48,72,"R3, R4, R5, R3, L3, L4, L5, L4, L5, L3, L4, R2, R1, R2, R1, R2, L5, R3, L4, L3, R4, L1, L2, L3, L2, L3, L4, R4, L4, R4","64 (E4), 65 (F4), 67 (G4), 65 (F4), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 57 (A3), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 62 (D4), 59 (B3), 64 (E4), 60 (C4), 59 (B3), 62 (D4), 57 (A3), 55 (G3), 53 (F3), 55 (G3), 53 (F3), 55 (G3), 62 (D4), 57 (A3), 62 (D4)",0.272772,0.063988,0.344828,0.866667,0.000000,0.948123
1799551287-α-7,alpha,1799551287,48,72,"L3, L4, R1, R2, R3, R2, R4, L3, L2, R5, R4, L2, L3, R1, R2, R1, R2, R1, R2, R1, L3, L2, R5, R4, L2, L1, L2, L2, R4, L2","60 (C4), 59 (B3), 64 (E4), 65 (F4), 64 (E4), 62 (D4), 64 (E4), 60 (C4), 59 (B3), 62 (D4), 64 (E4), 60 (C4), 59 (B3), 62 (D4), 64 (E4), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 62 (D4), 57 (A3), 59 (B3), 64 (E4), 65 (F4), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 64 (E4), 59 (B3)",0.281065,0.058036,0.344828,0.866667,0.000000,0.948123
1799551287-α-8,alpha,1799551287,48,72,"L2, R4, R5, R3, L2, L1, L2, R4, L2, R4, R2, R3, R2, L2, L3, R3, L3, L1, L2, L1, L3, L4, L5, R4, R5, R4, R5, L2, L3, L3","59 (B3), 64 (E4), 65 (F4), 64 (E4), 60 (C4), 59 (B3), 60 (C4), 65 (F4), 60 (C4), 65 (F4), 64 (E4), 65 (F4), 64 (E4), 59 (B3), 60 (C4), 65 (F4), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 60 (C4), 59 (B3), 57 (A3), 62 (D4), 64 (E4), 65 (F4), 64 (E4), 59 (B3), 60 (C4), 57 (A3)",0.281065,0.047619,0.344828,0.866667,0.000000,0.958766
1799551287-α-9,alpha,1799551287,48,72,"L4, L5, L4, R4, R5, L3, L4, R5, R4, R3, R1, L1, R1, R2, R3, R1, L2, L1, R2, R1, L2, L3, L2, L1, L2, L3, L4, R2, L4, L4","60 (C4), 59 (B3), 60 (C4), 65 (F4), 64 (E4), 59 (B3), 57 (A3), 62 (D4), 64 (E4), 62 (D4), 64 (E4), 59 (B3), 64 (E4), 65 (F4), 64 (E4), 62 (D4), 57 (A3), 59 (B3), 64 (E4), 65 (F4), 60 (C4), 59 (B3), 57 (A3), 59 (B3), 60 (C4), 59 (B3), 60 (C4), 64 (E4), 59 (B3), 57 (A3)",0.281065,0.059524,0.344828,0.866667,0.000000,0.958766
1799551287-β-1,beta,1799551287,48,72,"R2, L3, L5, L4, R2, R3, R1, L2, L1, L3, R2, L5, R3, R4, R5, R4, L1, R5, R4, R5, R1, L3, L2, R1, R3, L1, L3, R5, L3, L4","64 (E4), 60 (C4), 57 (A3), 60 (C4), 64 (E4), 69 (A4), 64 (E4), 59 (B3), 60 (C4), 57 (A3), 62 (D4), 59 (B3), 60 (C4), 65 (F4), 60 (C4), 64 (E4), 60 (C4), 60 (C4), 67 (G4), 62 (D4), 60 (C4), 57 (A3), 60 (C4), 64 (E4), 60 (C4), 57 (A3), 60 (C4), 64 (E4), 59 (B3), 60 (C4)",0.498346,0.127976,0.448276,0.933333,0.076923,0.992058
